datetime,ISPU PM2.5,temp,dew,humidity,precip,windspeed,AOD
2022-01-01,53.0,28.6,24.0,77.2,0.496,21.7,0.54719996
2022-01-02,53.0,28.1,23.9,79.2,0.0,22.8,0.33059998
2022-01-03,53.0,28.8,22.9,72.4,0.0,20.5,0.114
2022-01-04,53.0,28.4,23.4,75.4,0.0,18.0,0.5118
2022-01-05,53.0,28.8,24.1,77.3,27.896,14.3,0.2786
2022-01-06,53.0,27.6,25.1,87.0,13.511,18.0,0.16570000000000001
2022-01-07,53.0,28.1,23.7,79.2,0.339,17.1,0.0528
2022-01-08,53.0,28.4,24.2,79.3,0.006,21.0,0.048
2022-01-09,53.0,28.8,24.4,77.8,0.0,28.7,0.14125
2022-01-10,53.0,28.0,24.6,82.4,11.093,19.7,0.2345
2022-01-11,53.0,26.6,24.4,88.4,61.27,18.8,0.32775
2022-01-12,53.0,26.5,24.2,87.9,19.686,23.4,0.421
2022-01-13,49.91666666666666,27.1,24.3,85.4,0.752,24.1,0.38124444444444444
2022-01-14,46.91666666666666,26.8,24.4,86.9,13.302,19.3,0.34148888888888884
2022-01-15,52.75,26.9,24.5,87.1,3.657,16.6,0.3017333333333333
2022-01-16,52.125,27.1,25.3,90.0,11.826,14.6,0.26197777777777775
2022-01-17,51.5,27.8,24.9,85.0,5.967,22.1,0.2222222222222222
2022-01-18,51.06666666666667,26.1,24.7,91.9,163.023,21.7,0.18246666666666664
2022-01-19,39.6875,27.0,24.2,85.5,53.715,28.5,0.14271111111111107
2022-01-20,48.63157894736842,25.8,23.4,86.8,0.154,14.7,0.10295555555555552
2022-01-21,42.38461538461539,27.4,23.8,81.8,0.511,23.4,0.0632
2022-01-22,48.84615384615385,27.2,24.3,84.8,8.921,16.6,0.1627
2022-01-23,51.25,29.0,24.1,75.9,0.0,25.4,0.2622
2022-01-24,51.22222222222222,29.2,23.8,74.1,0.0,28.6,0.233
2022-01-25,44.0,28.6,24.5,78.8,4.895,25.6,0.4710666666666667
2022-01-26,48.41666666666666,27.3,24.8,86.7,0.753,13.0,0.7091333333333334
2022-01-27,53.41666666666666,28.2,24.2,80.1,0.006,20.1,0.9472
2022-01-28,57.88235294117647,27.5,24.1,83.0,4.923,18.1,0.23259999
2022-01-29,81.10526315789474,27.8,24.1,81.1,0.0,19.9,0.2957499925
2022-01-30,91.0,28.0,24.1,79.9,0.001,17.9,0.358899995
2022-01-31,91.78571428571428,28.4,23.9,77.5,0.0,16.6,0.4220499975
2022-02-01,54.833333333333336,28.3,24.6,81.1,0.003,16.1,0.4852
2022-02-02,60.44444444444444,27.6,24.1,82.4,4.404,22.3,0.3866
2022-02-03,53.6,28.7,24.5,78.7,1.034,15.2,0.288
2022-02-04,46.35,26.9,24.3,86.9,101.867,20.2,0.555
2022-02-05,57.57142857142857,26.2,24.3,89.6,42.914,20.5,0.52195
2022-02-06,23.84210526315789,27.6,24.2,82.4,0.083,25.3,0.48890000000000006
2022-02-07,35.526315789473685,27.7,24.5,83.7,12.731,18.0,0.45585000000000003
2022-02-08,53.9,26.4,25.0,91.9,68.18,10.3,0.42280000000000006
2022-02-09,67.0952380952381,27.3,24.1,83.2,1.243,37.1,0.38975000000000004
2022-02-10,26.09523809523809,27.2,23.4,80.6,0.006,22.3,0.3567
2022-02-11,54.35,27.5,24.0,81.2,0.388,18.4,0.32365
2022-02-12,61.68421052631579,27.9,24.6,82.8,0.0,14.4,0.2906
2022-02-13,66.57142857142857,27.1,24.3,85.3,0.006,21.5,0.25755
2022-02-14,65.16666666666667,26.4,23.7,85.9,23.555,18.0,0.22450000000000003
2022-02-15,66.52941176470588,27.5,24.1,82.8,2.107,18.0,0.19145
2022-02-16,73.1,28.2,24.1,80.0,47.031,33.5,0.1584
2022-02-17,68.0,27.4,24.3,83.8,0.031,14.4,0.51519996
2022-02-18,67.86666666666667,27.2,24.7,86.5,2.825,10.8,0.429039968
2022-02-19,67.73333333333333,27.3,24.6,85.4,2.33,18.4,0.34287997600000003
2022-02-20,67.6,27.7,24.8,84.8,0.862,20.0,0.25671998400000007
2022-02-21,67.46666666666667,28.2,23.6,77.2,0.015,17.5,0.17055999200000005
2022-02-22,67.33333333333334,28.8,23.9,75.9,2.994,19.3,0.0844
2022-02-23,67.2,27.8,23.5,78.6,15.886,29.5,0.0572
2022-02-24,48.23529411764706,27.8,22.1,73.4,3.036,28.9,0.03
2022-02-25,41.45454545454545,26.8,23.0,80.2,3.025,21.4,0.4649
2022-02-26,34.0,26.9,23.3,81.5,0.061,30.4,0.8998
2022-02-27,37.785714285714285,27.1,23.7,82.4,1.162,27.7,0.1072
2022-02-28,32.666666666666664,27.5,24.1,82.4,3.78,27.0,0.193
2022-03-01,36.75,25.9,23.9,89.1,16.326,24.1,0.2788
2022-03-02,36.31578947368421,27.4,24.1,83.5,6.232,27.0,0.3646
2022-03-03,36.15,28.2,23.9,78.5,0.006,28.6,0.0056
2022-03-04,40.142857142857146,28.0,24.0,80.0,3.316,20.0,0.1843
2022-03-05,51.526315789473685,27.3,23.8,81.9,12.151,29.4,0.363
2022-03-06,38.38095238095238,27.4,23.8,81.5,0.63,29.0,0.57019997
2022-03-07,5.277777777777778,28.6,23.3,74.2,0.002,24.1,0.6678499775
2022-03-08,37.6,27.8,24.2,82.1,0.585,20.5,0.7654999849999999
2022-03-09,63.73684210526316,27.6,24.5,83.9,0.0,25.4,0.8631499925
2022-03-10,77.05263157894737,28.0,24.4,81.5,0.082,21.2,0.9608
2022-03-11,90.6,28.0,24.7,83.3,8.067,34.4,0.7888999999999999
2022-03-12,51.578947368421055,27.2,24.8,87.4,34.203,16.6,0.617
2022-03-13,54.42857142857143,27.9,24.9,84.8,2.997,15.6,1.2888
2022-03-14,69.25,28.7,25.0,82.1,3.309,16.6,0.3362
2022-03-15,70.26315789473684,26.7,24.7,89.1,5.906,19.7,0.35249999
2022-03-16,62.7,28.4,24.2,79.9,0.011,17.5,0.36879998
2022-03-17,96.23809523809524,28.7,25.4,82.9,0.685,18.4,0.2977999866666667
2022-03-18,84.47619047619048,28.3,24.9,82.9,0.0,24.7,0.22679999333333334
2022-03-19,30.31578947368421,29.1,24.2,75.9,0.0,29.0,0.1558
2022-03-20,42.25,29.4,23.2,70.9,0.0,34.0,0.2944
2022-03-21,22.33333333333333,29.0,23.5,73.1,0.0,27.7,0.2386
2022-03-22,19.58823529411765,28.6,24.1,77.2,1.942,22.1,0.2454
2022-03-23,52.55,27.6,24.3,82.6,0.145,26.1,0.2522
2022-03-24,42.1,28.6,23.9,77.0,4.857,26.9,0.515
2022-03-25,78.69565217391305,29.1,25.0,79.9,0.009,19.3,0.42306666666666665
2022-03-26,74.05882352941177,26.4,24.6,89.6,23.024,10.9,0.3311333333333333
2022-03-27,64.15441176470588,27.4,24.5,85.4,9.182,29.5,0.2392
2022-03-28,54.25,28.0,24.4,82.5,5.425,26.8,0.61589998
2022-03-29,62.57142857142857,29.0,24.5,77.5,0.0,13.0,0.99259996
2022-03-30,64.38095238095238,29.0,24.1,75.9,0.0,11.6,0.6169999749999999
2022-03-31,105.75,28.3,24.3,79.9,0.007,18.3,0.24139999
2022-04-01,84.45454545454545,28.3,24.3,79.7,3.893,13.9,0.20729999500000001
2022-04-02,70.05,27.9,24.6,83.0,17.489,21.7,0.1732
2022-04-03,51.625,27.1,24.0,84.3,26.72,29.5,0.17559999
2022-04-04,47.77272727272727,28.4,23.6,76.7,0.0,19.7,0.1972
2022-04-05,67.04761904761905,27.6,24.1,82.3,53.595,22.3,0.0412
2022-04-06,60.95652173913044,28.6,23.6,76.0,0.082,29.5,0.0664
2022-04-07,60.59090909090909,28.7,24.2,77.5,0.007,24.1,0.1296
2022-04-08,56.8421052631579,28.1,23.6,77.6,44.763,29.5,0.5186
2022-04-09,61.3,28.5,23.7,76.6,0.04,14.8,0.39499998
2022-04-10,80.55,28.5,24.2,78.9,0.006,18.4,0.45119998
2022-04-11,69.95238095238095,28.5,24.2,78.7,29.159,18.4,0.36159998
2022-04-12,82.95238095238095,28.1,24.7,83.1,2.125,24.1,0.9496
2022-04-13,96.94117647058825,28.8,24.7,79.4,0.01,14.8,0.38239998
2022-04-14,79.33333333333333,29.0,24.2,76.2,0.395,25.4,0.3012
2022-04-15,72.3,29.5,24.8,76.6,0.07,20.5,0.3326
2022-04-16,76.85,29.2,24.3,75.7,0.647,16.6,0.5924
2022-04-17,99.36842105263158,29.4,25.1,78.6,0.04,20.5,0.6264
2022-04-18,70.57894736842105,29.5,25.5,79.7,15.877,21.9,0.611
2022-04-19,56.47368421052632,28.5,24.7,80.8,0.498,22.3,0.3276
2022-04-20,68.63157894736842,28.5,24.6,80.2,3.888,27.7,0.7442
2022-04-21,51.25,26.8,24.6,87.6,11.897,16.6,0.91929995
2022-04-22,84.5,26.3,24.4,89.3,6.315,16.6,1.0943999
2022-04-23,67.6,28.3,24.8,82.3,0.011,18.1,0.118999995
2022-04-24,77.5,28.7,24.8,80.4,5.748,20.2,0.4588
2022-04-25,69.23809523809524,28.5,24.5,80.6,23.131,25.9,0.182
2022-04-26,64.3,28.6,24.6,80.5,2.952,22.3,0.96559995
2022-04-27,55.57142857142857,28.3,24.6,81.2,5.175,31.7,0.7406666333333334
2022-04-28,35.42857142857143,27.6,24.2,83.4,3.024,22.3,0.5157333166666667
2022-04-29,27.857142857142858,28.8,24.7,79.7,0.0,22.3,0.2908
2022-04-30,45.45,28.0,25.3,85.5,0.013,16.6,0.30719998
2022-05-01,69.9,27.8,25.3,86.5,0.084,11.2,0.23613331999999998
2022-05-02,70.35,27.7,24.9,85.8,19.372,25.5,0.16506666
2022-05-03,47.66666666666666,28.1,25.0,84.4,0.318,20.5,0.094
2022-05-04,53.63157894736842,28.5,25.0,82.4,0.009,25.9,0.9486
2022-05-05,54.55,28.9,25.2,81.6,0.0,27.7,0.3922
2022-05-06,39.4,29.5,25.3,79.5,0.0,24.1,0.1634
2022-05-07,54.71428571428572,29.3,25.0,78.5,0.004,16.6,0.1546
2022-05-08,53.55555555555556,29.9,25.1,76.5,0.0,20.5,0.1532
2022-05-09,57.55,28.7,25.1,81.3,0.006,22.3,0.49520000000000003
2022-05-10,59.35,29.7,25.4,78.1,0.0,18.4,0.8372
2022-05-11,49.45,28.1,25.4,85.9,18.211,46.4,0.5062
2022-05-12,72.45,28.6,25.5,84.1,15.548,20.5,0.78599995
2022-05-13,54.22727272727273,29.0,25.4,81.8,12.622,16.6,0.083
2022-05-14,67.27272727272727,29.1,25.2,80.0,0.002,14.8,0.8488
2022-05-15,88.8695652173913,28.7,25.9,85.4,7.081,18.4,0.6216
2022-05-16,73.5,28.3,25.0,83.5,0.033,13.0,0.251
2022-05-17,66.8,29.0,25.6,82.7,0.016,21.9,0.6132
2022-05-18,71.35,28.5,25.2,83.2,35.13,18.4,0.361
2022-05-19,83.3125,27.6,25.2,87.7,9.022,18.4,0.4666
2022-05-20,75.5,27.3,24.9,87.5,19.55,14.8,0.1444
2022-05-21,63.0,27.4,24.7,85.8,0.452,20.5,0.22186666666666666
2022-05-22,68.3157894736842,27.5,24.8,85.5,0.0,22.3,0.29933333333333334
2022-05-23,70.0,28.6,25.0,81.8,0.0,27.7,0.3768
2022-05-24,64.71428571428571,29.6,25.1,77.3,0.0,27.7,0.066
2022-05-25,78.78947368421052,27.9,25.1,85.3,0.533,24.1,0.17720000000000002
2022-05-26,66.38095238095238,27.2,24.3,85.1,0.793,14.8,0.2884
2022-05-27,96.38888888888889,28.4,24.0,78.5,1.011,23.6,0.3996
2022-05-28,77.1,26.0,23.8,88.2,20.294,22.3,0.3526666666666667
2022-05-29,85.7,26.9,24.0,84.8,25.112,16.6,0.3057333333333333
2022-05-30,59.23809523809524,26.6,24.8,90.0,0.004,33.5,0.2588
2022-05-31,73.42105263157895,27.1,24.4,86.1,0.15,24.1,0.1218
2022-06-01,55.85,28.2,24.2,79.9,0.057,24.1,0.22579999
2022-06-02,60.80952380952381,27.7,24.7,84.9,33.153,20.5,0.32979998
2022-06-03,61.63157894736842,28.0,24.3,81.7,0.117,27.1,0.68939996
2022-06-04,105.36842105263158,28.7,24.5,79.4,0.007,16.6,0.2122
