datetime,ISPU PM2.5,temp,dew,humidity,precip,windspeed,AOD
2022-01-01,52.75,28.3,23.8,77.8,0.502,21.8,0.34559998
2022-01-02,52.75,27.9,23.7,79.2,0.009,23.2,0.29359998499999995
2022-01-03,52.75,28.4,22.5,72.3,0.0,20.0,0.24159999
2022-01-04,52.75,28.0,23.1,75.7,0.0,15.1,0.204799995
2022-01-05,52.75,28.3,23.8,78.1,16.889,14.2,0.168
2022-01-06,52.75,27.3,24.8,87.2,8.459,16.6,0.132
2022-01-07,52.75,27.7,23.5,79.8,1.258,23.7,0.096
2022-01-08,52.75,28.1,24.0,80.0,0.051,21.4,0.106199995
2022-01-09,52.75,28.4,24.1,78.3,0.177,17.8,0.10704614884615385
2022-01-10,52.75,27.7,24.5,83.4,8.84,19.3,0.10789230269230769
2022-01-11,52.75,26.3,24.3,89.7,51.69,14.8,0.10873845653846154
2022-01-12,52.75,26.2,24.1,88.8,17.026,20.6,0.1095846103846154
2022-01-13,54.66666666666666,26.9,24.1,85.6,5.949,24.1,0.11043076423076924
2022-01-14,60.91666666666666,26.7,24.3,87.3,14.183,19.0,0.11127691807692308
2022-01-15,68.83333333333333,26.7,24.3,87.2,5.342,16.6,0.11212307192307693
2022-01-16,80.91666666666666,26.9,25.2,90.3,6.368,11.6,0.11296922576923077
2022-01-17,93.0,27.7,24.7,84.6,9.578,18.4,0.11381537961538461
2022-01-18,62.13333333333333,25.9,24.6,92.5,92.373,18.4,0.11466153346153846
2022-01-19,57.5,26.9,24.0,85.1,48.866,27.7,0.11550768730769231
2022-01-20,58.68421052631579,25.6,23.3,87.2,8.048,14.2,0.11635384115384616
2022-01-21,53.84615384615385,27.0,23.7,82.8,2.127,14.8,0.117199995
2022-01-22,68.3076923076923,27.0,24.1,85.0,15.391,16.6,0.13659999750000001
2022-01-23,73.4375,28.7,23.9,76.3,0.0,17.3,0.156
2022-01-24,73.22222222222223,28.8,23.5,74.6,0.0,28.4,0.251
2022-01-25,56.285714285714285,28.3,24.2,78.8,2.25,26.2,0.3822
2022-01-26,54.083333333333336,27.0,24.6,87.2,1.665,13.0,0.6761999999999999
2022-01-27,75.25,28.0,24.0,80.1,0.405,19.6,0.9702
2022-01-28,82.17647058823529,27.1,23.9,83.6,6.057,15.7,0.0075999997
2022-01-29,87.10526315789474,27.6,23.9,81.2,0.0,14.8,0.2539999998
2022-01-30,108.47368421052632,27.7,23.9,80.4,0.147,13.9,0.5003999999
2022-01-31,97.0,28.2,23.7,77.3,5.491,16.6,0.7468
2022-02-01,88.41666666666667,27.9,24.3,81.8,2.409,15.7,0.6382
2022-02-02,93.22222222222224,27.4,24.0,82.3,7.327,22.3,0.50679999
2022-02-03,83.0,28.4,24.2,79.1,2.295,15.1,0.37539998
2022-02-04,74.95,26.6,24.1,87.0,58.9,15.4,0.5166
2022-02-05,58.80952380952381,26.1,24.2,89.6,34.161,20.5,0.6110285714285714
2022-02-06,10.842105263157896,27.2,23.9,82.9,5.534,21.1,0.7054571428571428
2022-02-07,58.31578947368421,27.5,24.3,83.9,10.668,18.1,0.7998857142857143
2022-02-08,71.5,26.2,24.8,92.4,38.448,10.6,0.8943142857142856
2022-02-09,89.0,27.1,23.9,83.3,9.139,37.1,0.9887428571428571
2022-02-10,35.714285714285715,26.8,23.2,81.3,0.788,22.3,1.0831714285714287
2022-02-11,74.4,27.3,23.8,81.8,0.153,18.4,1.1776
2022-02-12,69.3157894736842,27.6,24.5,83.5,0.035,11.8,0.96556
2022-02-13,94.57142857142856,26.8,24.2,85.9,0.395,16.6,0.75352
2022-02-14,88.38888888888889,26.2,23.5,86.0,13.043,18.1,0.54148
2022-02-15,108.76470588235294,27.3,23.8,82.7,8.338,13.7,0.32943999999999996
2022-02-16,72.6,27.9,23.9,80.5,25.751,33.5,0.1174
2022-02-17,67.21428571428571,27.1,24.0,84.2,2.535,14.5,0.4604
