datetime,ISPU PM2.5,temp,dew,humidity,precip,windspeed,AOD
2022-01-01,73.16905586106311,28.5,24.0,77.7,0.529,21.6,0.47
2022-01-02,73.16905586106311,28.1,23.8,79.2,0.0,22.7,0.3224
2022-01-03,73.16905586106311,28.7,22.7,72.2,0.0,20.6,0.1748
2022-01-04,73.16905586106311,28.2,23.3,75.6,0.0,15.2,0.3056
2022-01-05,73.16905586106311,28.7,24.0,77.5,24.597,12.0,0.4364
2022-01-06,73.16905586106311,27.5,25.0,86.9,11.417,16.6,0.5848
2022-01-07,73.16905586106311,28.0,23.7,79.6,0.885,20.5,0.1484
2022-01-08,60.124440641019255,28.4,24.2,79.6,0.039,20.9,0.075399995
2022-01-09,77.55403901125972,28.7,24.4,78.2,0.0,22.8,0.10396363
2022-01-10,62.70047018493796,27.9,24.6,83.0,11.234,19.8,0.132527265
2022-01-11,57.22916960351144,26.5,24.4,89.2,57.783,16.3,0.16109089999999998
2022-01-12,56.9113880465164,26.4,24.2,88.4,17.907,21.6,0.189654535
2022-01-13,54.847978959997135,27.0,24.3,85.5,3.269,24.1,0.21821817
2022-01-14,57.9934999179052,26.8,24.4,87.1,14.312,19.3,0.246781805
2022-01-15,61.414023898064976,26.9,24.5,87.3,4.092,16.6,0.27534544
2022-01-16,86.37977300042907,27.1,25.3,90.2,9.807,13.8,0.303909075
2022-01-17,77.54122126732737,27.8,24.9,84.9,9.213,20.1,0.33247271
2022-01-18,66.10591993763764,26.1,24.7,92.3,136.777,18.4,0.361036345
2022-01-19,55.01907357371309,27.0,24.2,85.5,57.204,27.7,0.38959998
2022-01-20,55.707083832912645,25.8,23.4,87.3,2.404,14.8,0.24299999
2022-01-21,49.78662423687525,27.3,23.8,82.4,0.859,17.6,0.0964
2022-01-22,57.28197293748181,27.1,24.2,85.0,13.911,16.6,0.014599999
2022-01-23,58.47790218802414,28.9,24.0,76.2,0.0,20.8,0.2276
2022-01-24,54.46881547616792,29.1,23.8,74.7,0.0,28.7,0.2298
2022-01-25,43.69188108491028,28.5,24.5,79.1,3.815,25.4,0.3908
2022-01-26,53.44547203647803,27.2,24.8,87.1,1.395,13.0,0.60079998
2022-01-27,57.10400238034966,28.2,24.2,80.3,0.115,20.2,0.81079996
2022-01-28,62.35460595067743,27.4,24.1,83.4,4.862,16.2,0.426
2022-01-29,73.56395163442424,27.8,24.1,81.3,0.0,15.2,0.4702
2022-01-30,101.74997208796977,28.0,24.1,80.1,0.025,14.7,0.8606
2022-01-31,115.66160716234542,28.3,23.9,77.6,0.0,16.6,0.7819
2022-02-01,67.06603305896206,28.2,24.5,81.3,0.057,16.2,0.7032
2022-02-02,79.34499388220567,27.6,24.1,82.5,6.392,22.3,0.464899995
2022-02-03,59.04547143737065,28.6,24.4,79.1,1.656,15.2,0.22659999
2022-02-04,60.52886079378299,26.8,24.3,86.9,83.28,17.3,0.471
2022-02-05,60.02518081870296,26.2,24.3,89.7,42.127,20.5,0.46168
2022-02-06,51.21680367996555,27.5,24.1,82.6,1.339,20.5,0.45236
2022-02-07,52.10660833660202,27.6,24.4,83.7,11.105,17.9,0.44304
2022-02-08,59.10739515851565,26.4,25.0,92.0,54.155,10.3,0.43372
2022-02-09,82.07561951028107,27.3,24.0,83.3,4.558,37.1,0.4244
2022-02-10,53.61797918691301,27.0,23.3,80.9,0.12,22.3,0.38702857142857144
2022-02-11,60.75404182417649,27.5,23.9,81.3,0.284,18.4,0.3496571428571429
2022-02-12,69.24496571225443,27.8,24.6,83.1,0.0,12.0,0.3122857142857143
2022-02-13,81.13169532880575,27.0,24.3,85.6,0.108,16.6,0.2749142857142857
2022-02-14,87.63054441033601,26.3,23.7,86.0,19.254,17.9,0.23754285714285717
2022-02-15,83.51692335797175,27.5,24.0,82.6,4.071,14.6,0.20017142857142858
2022-02-16,79.4033023056075,28.1,24.0,80.1,36.853,33.5,0.1628
2022-02-17,75.28968125324323,27.3,24.2,83.9,0.487,14.3,0.509
2022-02-18,71.17606020087896,27.1,24.6,86.6,3.376,10.7,0.5012666666666666
2022-02-19,67.0624391485147,27.2,24.5,85.6,1.707,18.4,0.4935333333333333
2022-02-20,62.94881809615045,27.5,24.8,85.5,1.775,15.7,0.4858
2022-02-21,58.83519704378618,28.1,23.6,77.3,0.233,17.5,0.5176
2022-02-22,54.72157599142192,28.8,23.8,75.9,3.185,19.3,0.0682
