learning_rate,optimizer,lstm_units,dropout_rate,val_R2,val_MSE,val_RMSE,val_MAE,test_R2,test_MSE,test_RMSE,test_MAE,epochs_run,best_train_loss,best_val_loss,station
0.001,adam,16,0.2,0.40667055515286,165.27523213257504,12.855941510934741,9.271126629537426,0.4887384901850794,173.48504627491627,13.17137222444633,8.87921981574499,100,0.01385421957820654,0.009306524880230427,jagakarsa
0.001,adam,64,0.0,0.39679706257849623,168.02554865800494,12.96246692022799,9.387730880483154,0.4416814415988557,189.45279290715794,13.764185152313155,9.828976193227268,50,0.013167208060622215,0.00946139357984066,jagakarsa
0.001,adam,64,0.1,0.3950613955957406,168.50902839421403,12.98110274184031,9.160388034273112,0.48601457456573405,174.40934551943042,13.206413045162202,8.769380025417483,70,0.012657178565859795,0.00948861800134182,jagakarsa
0.001,adam,32,0.1,0.38562977990703584,171.13625764412512,13.081905734415194,9.491398157772828,0.4582178650564278,183.84153108970366,13.558817466494032,9.280196284411247,56,0.013577583245933056,0.00963655486702919,jagakarsa
0.001,adam,16,0.1,0.3828392095066202,171.9135866216712,13.111582155547483,9.279470533413487,0.5044490741224958,168.15401444665423,12.967421272043808,8.93338427766722,79,0.013417158275842667,0.009680326096713543,jagakarsa
0.001,adam,64,0.2,0.3822185118558916,172.08648542047382,13.118173859972806,9.332147711833818,0.48719579806058133,174.00852400494014,13.191229055889377,8.86747520220907,73,0.013188724406063557,0.009690062142908573,jagakarsa
0.001,adam,32,0.2,0.3611451278195795,177.9565942928182,13.340037267294953,9.811249466108134,0.4561632405047241,184.538721526666,13.584502991521846,9.388761677379497,50,0.01396514754742384,0.0100206034258008,jagakarsa
0.001,adam,32,0.0,0.3550321800282603,179.65939005662005,13.403708071150314,9.774059590236089,0.4052463399938214,201.81622173298308,14.206203635489077,10.437038658376325,59,0.013440812937915325,0.010116487741470337,jagakarsa
0.001,rmsprop,32,0.2,0.33042780466484734,186.5130762927932,13.656979032450522,9.36661805293266,0.3861804437423444,208.28580301372065,14.432110137250223,10.045374713306538,81,0.013801226392388344,0.010502411983907223,jagakarsa
0.001,rmsprop,64,0.1,0.32900769983810274,186.90865442721943,13.671453998284873,9.603292029974316,0.42670335075758115,194.53526974694407,13.947590105353113,9.762475562513918,76,0.012763638980686665,0.010524686425924301,jagakarsa
0.001,rmsprop,64,0.0,0.27450780755166126,202.0899039456258,14.215832861483205,9.902511839101562,0.13209732782399752,294.5031698143749,17.16109465664632,13.114793864049409,61,0.013125419616699219,0.01137953158468008,jagakarsa
0.001,adam,16,0.0,0.14929429896458102,236.9688264019274,15.393791813647715,10.995570419369395,0.24296939675772478,256.88123731934627,16.027515007615694,11.606078755785846,38,0.016958273947238922,0.013343539088964462,jagakarsa
0.001,rmsprop,32,0.1,0.12656497558408364,243.3002064312733,15.598083421730802,11.16273981316391,0.23480882388846347,259.6503434121678,16.11366945832537,11.935631370126156,54,0.016220351681113243,0.01370005402714014,jagakarsa
0.001,rmsprop,16,0.0,0.09966491577783687,250.7933683962976,15.836456939489262,11.476695293881063,-0.13791113651034537,386.12444391854086,19.65004946351385,15.780398740127074,29,0.016601460054516792,0.01412198692560196,jagakarsa
0.001,rmsprop,64,0.2,0.09226175939960957,252.8555589711148,15.901432607507878,11.37118337906821,0.24413250495539518,256.4865628218105,16.01519787020474,11.48291467463064,40,0.017654119059443474,0.01423811074346304,jagakarsa
0.001,rmsprop,16,0.1,0.017996217571464412,273.542640611333,16.53912454186536,11.936367150773611,0.18936949995759256,275.0691517196849,16.585208823517565,12.167722049512362,44,0.017059121280908585,0.01540298294275999,jagakarsa
0.01,adam,16,0.0,0.0017978378459905242,278.0547897934607,16.67497495630685,12.113163378162826,-0.0033920737715842364,340.47843815421004,18.45205782979801,13.491400303756983,25,0.021428758278489113,0.015657059848308563,jagakarsa
0.01,adam,64,0.0,0.00012510179701430424,278.5207397664345,16.688940642426484,12.127170803527237,-0.006264257826034347,341.45304894346486,18.478448228773566,13.514077098467196,32,0.02163160778582096,0.01568329706788063,jagakarsa
0.01,rmsprop,32,0.2,-4.51608691596217e-05,278.56816738345196,16.69036151146679,12.13541183236164,-0.002990415834568383,340.3421446049164,18.448364279927812,13.540823409710713,16,0.018987152725458145,0.01568596623837948,jagakarsa
0.01,adam,16,0.1,-0.0001487334227039394,278.5970180969607,16.69122578173816,12.130986871840161,-0.006020192047109241,341.37023073372666,18.476207152273613,13.524359063098304,25,0.02160828374326229,0.015687590464949608,jagakarsa
0.01,adam,16,0.2,-0.00015805025078252655,278.59961335148046,16.69130352463463,12.131739629059442,-0.005651875928354144,341.2452509774193,18.472824661578404,13.526764999635041,25,0.02146177738904953,0.015687735751271248,jagakarsa
0.01,adam,32,0.1,-0.00023606001000398003,278.62134340579667,16.691954451345616,12.1184467865975,-0.010538732350998448,342.9034953325013,18.517653613039133,13.478609024572096,27,0.021616125479340553,0.015688959509134293,jagakarsa
0.01,adam,32,0.2,-0.0003080460209423652,278.64139551137055,16.69255509235691,12.11962438128356,-0.010435693136262802,342.86853130216974,18.516709516060615,13.482251672856291,25,0.02167329005897045,0.015690090134739876,jagakarsa
