latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-5.9000015,106.5,0.442,38.0,1.3191999,38.0,0.436,6.0,0.7573,2.0
-5.9000015,106.55,0.4062,37.0,1.308,37.0,0.41599998,6.0,0.8902999,2.0
-5.9000015,106.6,0.3936,38.0,1.2626,38.0,0.3922,6.0,0.98469996,2.0
-5.9000015,106.65,0.3696,39.0,1.2527,39.0,0.37019998,6.0,0.63899994,2.0
-5.9000015,106.7,0.35979998,42.0,1.2479999,42.0,0.3604,6.0,0.51469994,2.0
-5.9000015,106.75,0.3566,42.0,1.2497,42.0,0.3588,6.0,0.6401,5.0
-5.9000015,106.8,0.352,43.0,1.2433,43.0,0.3484,7.0,0.78989995,5.0
-5.9000015,106.85,0.3496,41.0,1.2423999,41.0,0.3488,7.0,0.7753999,5.0
-5.9000015,106.9,0.3412,43.0,1.2306999,43.0,0.35119998,7.0,0.8734,5.0
-5.9000015,106.95,0.3452,42.0,1.2357,42.0,0.345,7.0,0.7559,6.0
-5.9000015,107.0,0.3706,42.0,1.2591,42.0,0.3266,7.0,0.5346,4.0
-5.9500046,106.5,0.47419998,41.0,1.3090999,41.0,0.3858,6.0,0.50829995,6.0
-5.9500046,106.55,0.4244,41.0,1.2606,41.0,0.3744,6.0,0.577,6.0
-5.9500046,106.6,0.403,32.0,1.2111,32.0,0.3746,6.0,0.80149996,5.0
-5.9500046,106.65,0.36859998,38.0,1.2741,38.0,0.3522,6.0,0.49069995,5.0
-5.9500046,106.7,0.36879998,40.0,1.2667999,40.0,0.3504,6.0,0.59599996,6.0
-5.9500046,106.75,0.35619998,41.0,1.2598,41.0,0.3522,6.0,0.87679994,5.0
-5.9500046,106.8,0.3522,41.0,1.2515999,41.0,0.35259998,7.0,0.8213999,6.0
-5.9500046,106.85,0.484,41.0,1.3086,41.0,0.35279998,7.0,0.7514,2.0
-5.9500046,106.9,0.3602,42.0,1.2394999,42.0,0.353,7.0,0.71669996,6.0
-5.9500046,106.95,0.3728,43.0,1.2477,43.0,0.327,7.0,0.5138999,5.0
-5.9500046,107.0,0.53139997,42.0,1.2351999,42.0,0.27359998,8.0,0.07129997,1.0
-6.0,106.5,0.4468,39.0,1.3003999,39.0,0.3098,7.0,0.112399995,5.0
-6.0,106.55,0.43899998,40.0,1.3005999,40.0,0.29979998,7.0,0.058099985,5.0
-6.0,106.6,0.387,37.0,1.2712,37.0,0.3206,6.0,-0.048600018,3.0
-6.0,106.65,0.4698,25.0,1.0482,25.0,0.3414,6.0,0.08029997,2.0
-6.0,106.7,0.3818,38.0,1.2545999,38.0,0.3412,6.0,0.195,6.0
-6.0,106.75,0.3602,39.0,1.2648,39.0,0.34939998,6.0,0.7779,5.0
-6.0,106.8,0.3586,39.0,1.2444999,39.0,0.35799998,6.0,0.7753999,6.0
-6.0,106.85,0.3706,42.0,1.2419,42.0,0.3658,6.0,1.0455999,5.0
-6.0,106.9,0.37899998,42.0,1.2502999,42.0,0.34199998,7.0,0.9146999,5.0
-6.0,106.95,0.4008,42.0,1.2698,42.0,0.2758,8.0,0.306,5.0
-6.0,107.0,0.2554,7.0,1.1358,7.0,0.24759999,8.0,,0.0
-6.050003,106.5,0.1406,40.0,1.1737,40.0,0.2586,8.0,,0.0
-6.050003,106.55,0.1286,40.0,1.1412,38.0,0.2536,8.0,,0.0
-6.050003,106.6,0.268,20.0,1.0208,20.0,0.2438,8.0,,0.0
-6.050003,106.65,0.16319999,15.0,1.1094999,14.0,0.2846,7.0,,0.0
-6.050003,106.7,0.1476,32.0,1.0839,29.0,0.3328,6.0,,0.0
-6.050003,106.75,0.39519998,38.0,1.3104,38.0,0.3442,6.0,0.1828,2.0
-6.050003,106.8,0.3856,40.0,1.2476,40.0,0.3522,6.0,0.45729995,2.0
-6.050003,106.85,0.3838,41.0,1.2423999,41.0,0.3646,6.0,0.8585,5.0
-6.050003,106.9,0.4034,41.0,1.2495999,41.0,0.2932,8.0,0.7322999,5.0
-6.050003,106.95,0.417,41.0,1.2799,41.0,0.2674,8.0,-0.18200001,3.0
-6.050003,107.0,0.110199995,23.0,1.1940999,23.0,0.23339999,8.0,-0.4823,1.0
-6.0999985,106.5,0.21,27.0,1.1876,26.0,0.1882,7.0,,0.0
-6.0999985,106.55,0.108399995,32.0,1.1577,32.0,0.15519999,5.0,,0.0
-6.0999985,106.6,0.0918,21.0,1.1744,21.0,0.14199999,4.0,,0.0
-6.0999985,106.65,0.20359999,21.0,1.0904,21.0,0.166,3.0,,0.0
-6.0999985,106.7,0.16319999,42.0,1.1319,41.0,0.271,2.0,,0.0
-6.0999985,106.75,0.44079998,10.0,0.90989995,10.0,0.33319998,6.0,,0.0
-6.0999985,106.8,,0.0,,0.0,0.3468,6.0,,0.0
-6.0999985,106.85,,0.0,,0.0,0.36319998,6.0,,0.0
-6.0999985,106.9,0.16679999,39.0,1.127,39.0,0.283,8.0,,0.0
-6.0999985,106.95,0.0814,32.0,1.1064,29.0,0.2652,7.0,,0.0
-6.0999985,107.0,0.1354,26.0,1.0755,26.0,0.169,7.0,-0.26090002,1.0
-6.1500015,106.5,0.1936,14.0,1.0208,14.0,0.13059999,5.0,,0.0
-6.1500015,106.55,0.087,20.0,1.1675999,20.0,0.118999995,4.0,,0.0
-6.1500015,106.6,0.085999995,25.0,1.1552,23.0,0.117,4.0,,0.0
-6.1500015,106.65,0.4224,19.0,1.0425999,19.0,0.125,3.0,,0.0
-6.1500015,106.7,0.3594,35.0,1.0178,34.0,0.1594,2.0,,0.0
-6.1500015,106.75,0.4044,28.0,1.0691999,28.0,0.302,1.0,,0.0
-6.1500015,106.8,0.4436,37.0,1.0919,36.0,0.2906,1.0,,0.0
-6.1500015,106.85,0.2522,17.0,1.1344,15.0,0.2394,1.0,,0.0
-6.1500015,106.9,0.2958,30.0,1.0988,30.0,0.16319999,4.0,,0.0
-6.1500015,106.95,0.0752,34.0,1.1308,33.0,0.1012,3.0,,0.0
-6.1500015,107.0,0.096,22.0,1.1069,21.0,0.1182,5.0,-0.21940002,1.0
-6.2000046,106.5,0.0782,8.0,1.242,8.0,0.121,4.0,,0.0
-6.2000046,106.55,0.0764,17.0,1.2050999,16.0,0.108799994,3.0,,0.0
-6.2000046,106.6,0.14459999,26.0,1.1874,26.0,0.081999995,2.0,,0.0
-6.2000046,106.65,0.175,13.0,1.1816,13.0,0.0764,1.0,,0.0
-6.2000046,106.7,0.3532,22.0,1.0889,22.0,0.0902,1.0,,0.0
-6.2000046,106.75,0.2642,27.0,1.2141,26.0,,0.0,,0.0
-6.2000046,106.8,0.1918,17.0,1.1596999,17.0,,0.0,,0.0
-6.2000046,106.85,0.1858,25.0,1.1521,25.0,0.112399995,1.0,,0.0
-6.2000046,106.9,0.22019999,27.0,1.1243,24.0,0.0826,3.0,,0.0
-6.2000046,106.95,0.1038,25.0,1.1638999,25.0,0.0848,3.0,,0.0
-6.2000046,107.0,0.2944,24.0,1.101,24.0,0.0906,4.0,,0.0
-6.25,106.5,0.049599998,10.0,1.2578,10.0,0.1156,2.0,,0.0
-6.25,106.55,0.2674,13.0,1.1751,13.0,0.106599994,2.0,,0.0
-6.25,106.6,0.2368,13.0,1.2047,13.0,0.079799995,2.0,,0.0
-6.25,106.65,0.2042,16.0,1.0733999,16.0,0.0808,2.0,,0.0
