datetime,Latitude,Longitude,AOD
2022-01-01,-6.15,106.9,0.401
2022-01-03,-6.15,106.9,0.39519998
2022-01-04,-6.15,106.9,0.49139997
2022-01-05,-6.15,106.9,0.79039997
2022-01-07,-6.15,106.9,0.0828
2022-01-08,-6.15,106.9,0.012999999
2022-01-12,-6.15,106.9,0.6034
2022-01-19,-6.15,106.9,0.44239998
2022-01-21,-6.15,106.9,0.1108
2022-01-22,-6.15,106.9,0.471
2022-01-23,-6.15,106.9,0.22399999
2022-01-24,-6.15,106.9,0.2968
2022-01-25,-6.15,106.9,1.2666
2022-01-27,-6.15,106.9,1.1998
2022-01-28,-6.15,106.9,0.72679996
2022-01-30,-6.15,106.9,0.51339996
2022-01-31,-6.15,106.9,0.7926
2022-02-01,-6.15,106.9,1.1376
2022-02-03,-6.15,106.9,0.36879998
2022-02-04,-6.15,106.9,0.5572
2022-02-09,-6.15,106.9,0.4342
2022-02-16,-6.15,106.9,0.27899998
2022-02-17,-6.15,106.9,0.4418
2022-02-20,-6.15,106.9,0.045199998
2022-02-21,-6.15,106.9,0.60539997
2022-02-22,-6.15,106.9,0.103599995
2022-02-23,-6.15,106.9,0.4966
2022-02-27,-6.15,106.9,0.126
2022-03-02,-6.15,106.9,0.355
2022-03-03,-6.15,106.9,0.030399999
2022-03-06,-6.15,106.9,0.06
2022-03-08,-6.15,106.9,0.26299998
2022-03-10,-6.15,106.9,0.443
2022-03-11,-6.15,106.9,0.5354
2022-03-12,-6.15,106.9,0.3662
2022-03-13,-6.15,106.9,0.1678
2022-03-14,-6.15,106.9,0.41399997
2022-03-16,-6.15,106.9,0.49019998
2022-03-17,-6.15,106.9,0.7208
2022-03-19,-6.15,106.9,0.113
2022-03-20,-6.15,106.9,0.110599995
2022-03-21,-6.15,106.9,0.38819999
2022-03-23,-6.15,106.9,0.3448
2022-03-24,-6.15,106.9,0.3188
2022-03-25,-6.15,106.9,0.508
2022-03-27,-6.15,106.9,0.2728
2022-03-28,-6.15,106.9,0.3338
2022-03-29,-6.15,106.9,0.68
2022-03-31,-6.15,106.9,0.3532
2022-04-02,-6.15,106.9,0.1188
2022-04-03,-6.15,106.9,0.2926
2022-04-04,-6.15,106.9,0.28939998
2022-04-05,-6.15,106.9,0.4258
2022-04-06,-6.15,106.9,0.1046
2022-04-07,-6.15,106.9,0.3328
2022-04-08,-6.15,106.9,0.692
2022-04-09,-6.15,106.9,0.44599998
2022-04-10,-6.15,106.9,0.5262
2022-04-11,-6.15,106.9,0.5986
2022-04-12,-6.15,106.9,0.7852
2022-04-13,-6.15,106.9,0.4998
2022-04-14,-6.15,106.9,0.391
2022-04-15,-6.15,106.9,0.3288
2022-04-16,-6.15,106.9,0.5208
2022-04-17,-6.15,106.9,0.6842
2022-04-18,-6.15,106.9,0.4468
2022-04-19,-6.15,106.9,0.28959998
2022-04-20,-6.15,106.9,0.7212
2022-04-22,-6.15,106.9,0.6328
2022-04-23,-6.15,106.9,0.0784
2022-04-24,-6.15,106.9,0.7736
2022-04-25,-6.15,106.9,0.7564
2022-04-26,-6.15,106.9,1.0158
2022-04-27,-6.15,106.9,0.3992
2022-04-29,-6.15,106.9,1.3614
2022-04-30,-6.15,106.9,0.31599998
2022-05-01,-6.15,106.9,1.129
2022-05-02,-6.15,106.9,0.4186
2022-05-03,-6.15,106.9,0.0716
2022-05-04,-6.15,106.9,0.9788
2022-05-05,-6.15,106.9,0.3408
2022-05-06,-6.15,106.9,0.198
2022-05-07,-6.15,106.9,0.3692
2022-05-08,-6.15,106.9,0.1598
2022-05-12,-6.15,106.9,0.7366
2022-05-13,-6.15,106.9,0.3164
2022-05-14,-6.15,106.9,0.42159998
2022-05-15,-6.15,106.9,0.4418
2022-05-16,-6.15,106.9,0.4522
2022-05-17,-6.15,106.9,0.5872
2022-05-18,-6.15,106.9,0.435
2022-05-23,-6.15,106.9,0.2828
2022-05-24,-6.15,106.9,0.1204
2022-05-25,-6.15,106.9,0.2096
2022-05-27,-6.15,106.9,0.2454
2022-05-29,-6.15,106.9,0.23279999
2022-05-30,-6.15,106.9,0.249
2022-05-31,-6.15,106.9,0.13
2022-06-02,-6.15,106.9,0.0532
2022-06-03,-6.15,106.9,0.2884
2022-06-04,-6.15,106.9,0.30679998
2022-06-05,-6.15,106.9,0.3816
2022-06-07,-6.15,106.9,0.5908
2022-06-08,-6.15,106.9,0.2644
2022-06-10,-6.15,106.9,0.21759999
2022-06-11,-6.15,106.9,0.58919996
2022-06-12,-6.15,106.9,0.60859996
2022-06-13,-6.15,106.9,0.7468
2022-06-14,-6.15,106.9,0.1856
2022-06-16,-6.15,106.9,0.5038
2022-06-18,-6.15,106.9,0.3102
2022-06-19,-6.15,106.9,0.3214
2022-06-20,-6.15,106.9,0.486
2022-06-21,-6.15,106.9,0.45099998
2022-06-22,-6.15,106.9,0.546
2022-06-23,-6.15,106.9,0.5148
2022-06-26,-6.15,106.9,0.4226
2022-06-27,-6.15,106.9,0.289
2022-06-28,-6.15,106.9,0.523
2022-06-29,-6.15,106.9,0.49339998
2022-06-30,-6.15,106.9,0.501
2022-07-01,-6.15,106.9,0.35279998
2022-07-02,-6.15,106.9,0.48299998
2022-07-03,-6.15,106.9,0.22839999
2022-07-04,-6.15,106.9,0.3346
2022-07-05,-6.15,106.9,0.2268
2022-07-06,-6.15,106.9,0.2628
2022-07-07,-6.15,106.9,0.46339998
2022-07-08,-6.15,106.9,0.30339998
2022-07-09,-6.15,106.9,0.55399996
2022-07-10,-6.15,106.9,0.4288
2022-07-12,-6.15,106.9,0.2332
2022-07-14,-6.15,106.9,0.5536
2022-07-15,-6.15,106.9,0.41459998
2022-07-18,-6.15,106.9,0.41059998
2022-07-19,-6.15,106.9,0.401
2022-07-20,-6.15,106.9,0.5584
2022-07-21,-6.15,106.9,0.3698
2022-07-22,-6.15,106.9,0.5986
