epochs,learning_rate,optimizer,lstm_units,dropout_rate,R2,RMSE,MBE,NSE
100,0.001,adam,16,0.0,0.7446595898645112,0.09667757167940577,-0.03154799200410462,-228.7434098978016
100,0.001,adam,16,0.1,0.6418582488056548,0.11449682240169415,-0.028724571743022728,-187.10708248903197
100,0.001,adam,16,0.2,0.6677550881845357,0.1102795859583105,0.01259185145800046,-186.3207077414036
100,0.001,adam,32,0.0,0.7331395297934745,0.09883438882952625,-0.027736357319240776,-218.44116975326313
100,0.001,adam,32,0.1,0.6311744471561126,0.11619206190133408,-0.01786039627904511,-196.2246485710035
100,0.001,adam,32,0.2,0.6482691727973147,0.11346741848733807,-0.03975957154203408,-202.78115696888378
100,0.001,adam,64,0.0,0.6669956289276455,0.11040555484844178,-0.03652235443750947,-215.1982785984043
100,0.001,adam,64,0.1,0.6408055785114811,0.11466496667419702,-0.034367256745873154,-210.49763904318758
100,0.001,adam,64,0.2,0.6582302843827142,0.1118491649574007,-0.009956987319649214,-199.50854102908838
100,0.001,rmsprop,16,0.0,0.7254867012742905,0.10024152195134856,-0.03672746869726518,-216.05285003459346
100,0.001,rmsprop,16,0.1,0.7707344650603646,0.09160840971923737,-0.003886534234251792,-197.67522195436499
100,0.001,rmsprop,16,0.2,0.7414752500557323,0.09727853485865859,-0.0020090231040120615,-192.53832520809584
100,0.001,rmsprop,32,0.0,0.7404583768663449,0.09746966327617121,-0.03410084896838087,-214.93316271361428
100,0.001,rmsprop,32,0.1,0.6797727805989817,0.10826674491309422,-0.03625125313035756,-200.28077377266453
100,0.001,rmsprop,32,0.2,0.6877576634112723,0.10690840536011427,-0.015455326566635716,-186.3620902389371
100,0.001,rmsprop,64,0.0,0.7110049912323821,0.10285161811547947,-0.05162930705365609,-223.23915409664045
100,0.001,rmsprop,64,0.1,0.6140536902427989,0.11885826978238015,-0.07173830129022216,-226.65235828113367
100,0.001,rmsprop,64,0.2,0.6936957306466889,0.1058869606594294,-0.06341903923917762,-226.8942485069933
100,0.01,adam,16,0.0,0.6483553499243719,0.11345351738115268,-0.049693677809518576,-212.4737511888919
100,0.01,adam,16,0.1,0.5986784097354092,0.12120267913095495,-0.06832709654701612,-227.07522149867373
100,0.01,adam,16,0.2,0.6208577279988262,0.11780590547980846,0.017480215032680987,-170.22976936845845
100,0.01,adam,32,0.0,0.6760049302743014,0.10890182513202008,-0.05427907971383267,-241.2744384207269
100,0.01,adam,32,0.1,0.6893822682352706,0.10662991906789716,-0.040252398430469835,-213.02583156427943
100,0.01,adam,32,0.2,0.6632231635048615,0.11102916255093347,0.003630603463513018,-179.35663236960764
100,0.01,adam,64,0.0,0.7244683035483559,0.1004272893322041,-0.03035183277217298,-216.87513526126833
100,0.01,adam,64,0.1,0.7332801845973564,0.09880833895442045,-0.041454470398347674,-218.29992890916046
100,0.01,adam,64,0.2,0.5949242514984394,0.12176825408316996,-0.06154470015161248,-196.35513482696982
100,0.01,rmsprop,16,0.0,0.6252730982279848,0.11711793159243286,-0.02873984016742254,-187.27794030744778
100,0.01,rmsprop,16,0.1,0.6826688401189751,0.10777606352614774,-0.013234293701570336,-181.68110165237002
100,0.01,rmsprop,16,0.2,0.5970577199427476,0.12144716389368206,0.038473981736681026,-183.90376747835273
100,0.01,rmsprop,32,0.0,0.47272711840076886,0.13892604599258687,-0.08709510951882245,-222.46913399059625
100,0.01,rmsprop,32,0.1,0.6578812157116478,0.11190626930787655,-0.042759170136570525,-202.74473442223675
100,0.01,rmsprop,32,0.2,0.6705851800066587,0.1098088957898823,0.010760058658846735,-173.57505497676496
100,0.01,rmsprop,64,0.0,0.5830141920679066,0.1235454042011348,-0.05797649341290387,-212.3060444887096
100,0.01,rmsprop,64,0.1,0.7448188025494243,0.09664742624356999,-0.011127153548596102,-228.78867089205667
100,0.01,rmsprop,64,0.2,0.6034852815178253,0.12047463355033504,-0.029234235599141862,-181.82594655329973
