epochs,learning_rate,optimizer,lstm_units,dropout_rate,R2,RMSE,MBE,NSE
100,0.001,adam,16,0.0,0.5970561074407303,0.1188825855310208,0.018567660353803438,-183.23485618413176
100,0.001,adam,16,0.1,0.6546537766850589,0.11005842880511782,0.0096833616196046,-178.61076717185887
100,0.001,adam,16,0.2,0.6162365581753921,0.11601863547157996,-0.0002509026225963223,-172.4996442243491
100,0.001,adam,32,0.0,0.6289308031057106,0.11408364937607998,0.01913298912212488,-180.89505601421484
100,0.001,adam,32,0.1,0.5920433173368324,0.11961977436033501,-0.002919663731647277,-174.99455995144774
100,0.001,adam,32,0.2,0.5301633999242814,0.12837172456282886,0.020735313562191857,-169.63614591677225
100,0.001,adam,64,0.0,0.6200099054518551,0.11544685089010454,0.0010959256113304938,-198.24631472904906
100,0.001,adam,64,0.1,0.6121838404969194,0.11662963156726235,0.025539298835447297,-220.2359886902061
100,0.001,adam,64,0.2,0.584424418784814,0.12073160204398942,0.012787768483727835,-171.09681771420878
100,0.001,rmsprop,16,0.0,0.6616459630531732,0.10893856100839966,0.01031283462104168,-181.91246318729773
100,0.001,rmsprop,16,0.1,0.570541085776896,0.12273170398756941,-0.023973194287565974,-168.05251042252334
100,0.001,rmsprop,16,0.2,0.5152127119940402,0.1303981904591539,0.04894278382594547,-175.35561457979264
100,0.001,rmsprop,32,0.0,0.6610628144121391,0.10903239766807074,-0.035812339395839124,-198.33335562967667
100,0.001,rmsprop,32,0.1,0.6467184468694485,0.11131570304392592,0.0342040931296809,-205.1258938779323
100,0.001,rmsprop,32,0.2,0.5816716106747604,0.12113081025469792,-0.016047406248910642,-165.2089082487934
100,0.001,rmsprop,64,0.0,0.6408219419398227,0.11224082548290935,-0.036730342124968195,-203.18988689254013
100,0.001,rmsprop,64,0.1,0.5682969568440762,0.12305195219741391,-0.04882415872173078,-192.36763123928165
100,0.001,rmsprop,64,0.2,0.5275390066389329,0.12872975195341715,0.026889525626504672,-166.45597497927687
100,0.01,adam,16,0.0,0.6400391968872736,0.11236306031261503,0.009652851099924377,-204.06743771967163
100,0.01,adam,16,0.1,-0.06325388621495742,0.19311430364845375,0.04710199263009037,-140.4127560423122
100,0.01,adam,16,0.2,0.5293389571459404,0.12848430492964946,0.05473490786877913,-178.89167907871476
100,0.01,adam,32,0.0,0.6608274621354875,0.10907024622970876,0.030163787073776573,-214.4783789405498
100,0.01,adam,32,0.1,0.6588594025799545,0.10938623032096782,0.02933331023627777,-190.95899425547736
100,0.01,adam,32,0.2,0.6133158013707986,0.11645929743771785,-0.020584973633171577,-177.90622885997553
100,0.01,adam,64,0.0,0.533098534132425,0.12797011840078076,-0.07022963745107204,-244.08197895995096
100,0.01,adam,64,0.1,0.6016824246801538,0.11819815236532356,0.0018309071248916566,-179.66240753292544
100,0.01,adam,64,0.2,0.5761951899000837,0.12192110604004348,0.016722896598005094,-169.92385011569903
100,0.01,rmsprop,16,0.0,-1.525770392555427,0.2976410905364442,-0.029177820555579957,-534.3703484260108
100,0.01,rmsprop,16,0.1,0.4865686528121732,0.134195249894951,0.021533073891940313,-155.0226768348245
100,0.01,rmsprop,16,0.2,0.6060030992747416,0.11755533835543713,0.016680483411695167,-167.14174647165348
100,0.01,rmsprop,32,0.0,0.5914276550787592,0.11971000160655673,0.03875426185456557,-209.6561071762447
100,0.01,rmsprop,32,0.1,-0.07665630046325256,0.19432760407097469,0.05185252158411587,-142.1952879616126
100,0.01,rmsprop,32,0.2,-0.009675093720389771,0.18818576755475175,0.01842143862017239,-133.28678746481182
100,0.01,rmsprop,64,0.0,0.6020054457794972,0.11815021543839223,0.013604795118589497,-225.25532907540332
100,0.01,rmsprop,64,0.1,0.46104863686041064,0.13748988237005363,0.07518091853097988,-224.24675065194006
100,0.01,rmsprop,64,0.2,0.6454420614867049,0.11151661027083204,0.022840317023097464,-176.88914759627147
