epochs,learning_rate,optimizer,lstm_units,dropout_rate,R2,RMSE,MBE,NSE
100,0.001,adam,16,0.0,0.7403750357143135,0.09348329742912465,-0.026310222223745947,-212.37849855188634
100,0.001,adam,16,0.1,0.6192822155521203,0.11320415834703207,-0.02495069416708496,-174.17409590758004
100,0.001,adam,16,0.2,0.6659653494660238,0.10603678654167166,0.007402837206089609,-177.9845860298885
100,0.001,adam,32,0.0,0.7391234684890104,0.09370835276015205,-0.027974165766319628,-210.8318511460637
100,0.001,adam,32,0.1,0.6377943829462611,0.11041762166538752,-0.024352379605743015,-176.85355956732295
100,0.001,adam,32,0.2,0.7160586348995657,0.0977631375050654,-0.0005450802893654524,-190.92586641065665
100,0.001,adam,64,0.0,0.7322965421594179,0.09492656992308734,-0.016163156403195388,-213.20662766541193
100,0.001,adam,64,0.1,0.6327414489267611,0.11118514228253196,-0.04433178370923007,-201.2784182706485
100,0.001,adam,64,0.2,0.6737649933541664,0.10479150520189294,-0.022572564073531948,-196.5999068300707
100,0.001,rmsprop,16,0.0,0.5649358927407091,0.12101450416170531,-0.07797297898406355,-228.92489263210908
100,0.001,rmsprop,16,0.1,0.715610009706339,0.09784033952860065,0.006491267521121646,-186.88395175488148
100,0.001,rmsprop,16,0.2,0.6604988973492203,0.10690090761660764,-0.02480160188720618,-184.86470552858577
100,0.001,rmsprop,32,0.0,0.6526375295243982,0.10813150443035988,-0.04234255375585141,-193.09391494770253
100,0.001,rmsprop,32,0.1,0.6641940424958073,0.10631755885168549,-0.03493094720204949,-191.1574403876079
100,0.001,rmsprop,32,0.2,0.7175542104003099,0.09750532865409177,-0.025243115898818697,-197.72132743952773
100,0.001,rmsprop,64,0.0,0.6789452299183476,0.10395619170994058,-0.043086972522116934,-213.208724630659
100,0.001,rmsprop,64,0.1,0.7610557705722829,0.0896827818851084,-0.01751484734537886,-226.79170200406577
100,0.001,rmsprop,64,0.2,0.6062248395869241,0.11512905939086818,-0.06034146670874776,-206.7195593096543
100,0.01,adam,16,0.0,0.7727143239511681,0.08746752367110026,-0.011844920891128784,-217.41049742993843
100,0.01,adam,16,0.1,0.7000608225431066,0.10047948396854985,0.0062627191126707095,-183.2806430560634
100,0.01,adam,16,0.2,0.6993848185190693,0.10059265075622606,-0.013263317497609941,-190.77416152856344
100,0.01,adam,32,0.0,0.6649672050352131,0.10619509508737994,0.0006360641740230911,-176.32227463408512
100,0.01,adam,32,0.1,0.7509088456892091,0.0915672034307682,-0.019898329980848218,-200.80692815079783
100,0.01,adam,32,0.2,0.46932263565525767,0.13365219008035747,0.022186372218714823,-151.0145695828932
100,0.01,adam,64,0.0,-2.5959952103458233,0.34791275444456776,-0.2956056573144563,-477.2673629759946
100,0.01,adam,64,0.1,0.5890304402414164,0.11761578878761159,-0.07717905284633296,-251.57159390150858
100,0.01,adam,64,0.2,0.628383264557713,0.11184290267288409,-0.03846186809836453,-187.0469726858826
100,0.01,rmsprop,16,0.0,0.6847876537478603,0.10300597273810966,-0.018113491300810348,-204.10792367427027
100,0.01,rmsprop,16,0.1,0.6763110626290985,0.1043817866957093,-0.0034094724695572986,-174.3641348492867
100,0.01,rmsprop,16,0.2,0.7102841878509079,0.09875222677018107,0.010160671294623053,-184.17330066727172
100,0.01,rmsprop,32,0.0,0.5271128830638356,0.12616518800040824,-0.03764008317541339,-224.30511592137424
100,0.01,rmsprop,32,0.1,0.6610188941415233,0.10681900886823283,-0.03835635331206731,-193.73996727216598
100,0.01,rmsprop,32,0.2,0.6723941257993431,0.10501144585030404,-0.02198891359927042,-180.899580781827
100,0.01,rmsprop,64,0.0,0.5699894988399197,0.1203096126864527,-0.05322843886722278,-203.7491190896385
100,0.01,rmsprop,64,0.1,0.7339355290386512,0.09463553470173079,0.014706532575573441,-195.96523623955855
100,0.01,rmsprop,64,0.2,0.6958665900942904,0.1011795779579901,-0.013464613362819428,-183.4860959132595
