epochs,learning_rate,optimizer,lstm_units,dropout_rate,R2,RMSE,MBE,NSE
100,0.001,adam,16,0.0,0.7288140913377771,0.09993614970149217,-0.04361380675287233,-234.36728858401614
100,0.001,adam,16,0.1,0.6341707444322517,0.11607221449664593,-0.03913213651468348,-188.45557242617014
100,0.001,adam,16,0.2,0.6860455175028803,0.10752820539494938,-0.022904505755330408,-196.96765742418992
100,0.001,adam,32,0.0,0.6660503223171577,0.11089949484792098,-0.07143385357717812,-246.08168339294187
100,0.001,adam,32,0.1,0.7003123193515446,0.10505663810518791,0.011214740188408047,-196.53269930213267
100,0.001,adam,32,0.2,0.6693102295768132,0.11035688515223337,0.008570355435949438,-178.99483300614497
100,0.001,adam,64,0.0,0.7323304160627495,0.099286126011233,-0.021417578039630347,-221.24540455828827
100,0.001,adam,64,0.1,0.5478892524882919,0.12903617153326422,-0.08523963586059811,-243.62762016624845
100,0.001,adam,64,0.2,0.6869935055614158,0.10736574152601319,-0.027469122195277855,-221.08590657401172
100,0.001,rmsprop,16,0.0,0.6729818812317916,0.10974252831898627,-0.05358204161839542,-227.29665421654852
100,0.001,rmsprop,16,0.1,0.7256413304466218,0.10051905514837604,-0.011370139832673001,-191.6435830162958
100,0.001,rmsprop,16,0.2,0.6718278827807638,0.10993599034951934,-0.016669069038254325,-180.35717836805648
100,0.001,rmsprop,32,0.0,0.7167884700765579,0.1021279274692326,-0.054421565033462724,-244.73145494855086
100,0.001,rmsprop,32,0.1,0.7178594184015361,0.10193464909796301,-0.026570338418980356,-195.86875021833083
100,0.001,rmsprop,32,0.2,0.6896753281491732,0.10690480016056261,0.016196794866769847,-181.60642787821274
100,0.001,rmsprop,64,0.0,0.7149347410547098,0.10246161572653022,-0.032871552197646946,-214.79801476879294
100,0.001,rmsprop,64,0.1,0.7695118392876179,0.09213260796138485,-0.024361131181323905,-213.62502000122922
100,0.001,rmsprop,64,0.2,0.7747594037939001,0.09107776982481855,-0.01700689215165309,-210.73377330549312
100,0.01,adam,16,0.0,0.45141324804070393,0.1421384945490834,-0.09894114359887521,-259.1931837794409
100,0.01,adam,16,0.1,0.6984125843031126,0.10538909169328381,-0.03997691881642256,-205.1318682299117
100,0.01,adam,16,0.2,0.7077651396804476,0.10374210697746822,-0.026476861655568222,-199.6044900417511
100,0.01,adam,32,0.0,0.5420232043144225,0.12987058316857364,-0.07695698187319043,-221.11732584007538
100,0.01,adam,32,0.1,0.6709117220913134,0.11008933798457633,-0.04931199133292796,-226.81299046555205
100,0.01,adam,32,0.2,0.6470636702567835,0.11400850115540231,0.02928010736042151,-181.33567337654745
100,0.01,adam,64,0.0,0.6368602741783167,0.11564475337379644,-0.06616542493570939,-237.9224121876253
100,0.01,adam,64,0.1,0.7408837109687985,0.09768691874194793,-0.004223519793943006,-197.63898355946768
100,0.01,adam,64,0.2,0.6503778675512826,0.11347194845160126,0.0035642467249345075,-170.50211676858297
100,0.01,rmsprop,16,0.0,0.7466110259207268,0.09660128648982572,-0.022665604000517005,-230.67710030708815
100,0.01,rmsprop,16,0.1,0.6862054586888571,0.10750081228451763,-0.014929294638525407,-184.36889563553478
100,0.01,rmsprop,16,0.2,0.6617502754519553,0.11161120048423852,-0.04325903379102094,-202.70979918708466
100,0.01,rmsprop,32,0.0,0.6814257595436322,0.10831644099996784,-0.0255070920834241,-208.74215042598522
100,0.01,rmsprop,32,0.1,0.7553919013539053,0.09491273092341188,0.005712129901738096,-224.43627058564667
100,0.01,rmsprop,32,0.2,0.7244686657221904,0.10073364552959509,0.0005711810278908243,-198.69418259518372
100,0.01,rmsprop,64,0.0,0.6175056659639115,0.11868656389605929,-0.06337438951573998,-215.15250863343974
100,0.01,rmsprop,64,0.1,0.4794693306423614,0.13845613849699487,-0.07489530169148786,-222.42857675639607
100,0.01,rmsprop,64,0.2,0.5359937513363835,0.1307226875981325,-0.06288706171765099,-191.04186112269528
