epochs,learning_rate,optimizer,lstm_units,dropout_rate,R2,RMSE,MBE,NSE
100,0.001,adam,16,0.0,0.6329420230910016,0.0741300673579226,-0.004835885324311654,-210.4259957606179
100,0.001,adam,16,0.1,0.5312457605974883,0.08377215077178733,-0.026183375811125672,-189.91500968476572
100,0.001,adam,16,0.2,0.5501695860983932,0.08206377088858327,0.00036625105347842736,-170.3867022252563
100,0.001,adam,32,0.0,0.5787474476595574,0.0794142308640493,-0.002161497417397327,-189.18469265650677
100,0.001,adam,32,0.1,0.5934615211116099,0.07801496003898487,0.0011196313004948753,-197.79342535254239
100,0.001,adam,32,0.2,0.4618801291076806,0.08975663783138986,-0.021528477683612525,-161.1091075094099
100,0.001,adam,64,0.0,0.4292952534800343,0.09243422487730987,-0.015671027602271227,-204.69410138199538
100,0.001,adam,64,0.1,0.4603660446886043,0.0898828213037725,-0.005034821163978904,-174.19550061091942
100,0.001,adam,64,0.2,0.4742309047669303,0.08872062422047723,-0.012212988072983228,-173.12995324375262
100,0.001,rmsprop,16,0.0,0.5859117897782715,0.07873602656837747,-0.02981621507983853,-221.5367631081871
100,0.001,rmsprop,16,0.1,0.5808998993489547,0.0792110816975697,0.025054695751513253,-196.61463906908423
100,0.001,rmsprop,16,0.2,0.3945579990069368,0.09520578413109847,0.04361961123063239,-182.17287038137556
100,0.001,rmsprop,32,0.0,0.531044374909827,0.08379014388970334,-0.02727419574464689,-187.45203040863103
100,0.001,rmsprop,32,0.1,0.5552543906348015,0.08159863542429965,-0.010313275284458316,-173.50971692802148
100,0.001,rmsprop,32,0.2,0.4515487348038313,0.09061416290324317,0.028102035258516584,-168.65104961866703
100,0.001,rmsprop,64,0.0,0.6135755173846358,0.07606053546270057,-0.014955858380663618,-202.36291878240584
100,0.001,rmsprop,64,0.1,0.5501254516996157,0.08206779656831097,-0.008723788881206554,-182.33536038323237
100,0.001,rmsprop,64,0.2,0.5022313492723416,0.08632584381297664,-0.021969842961201785,-189.78260461390406
100,0.01,adam,16,0.0,0.5177490755040729,0.08496960432204566,-0.026050306884826877,-225.52504342512276
100,0.01,adam,16,0.1,0.5266976612454135,0.0841775704073027,-0.009369794474335611,-175.85775935929786
100,0.01,adam,16,0.2,0.5204221773342615,0.08473378515034571,-0.01713113545187627,-175.43163722600642
100,0.01,adam,32,0.0,0.4377513730739917,0.09174687131792265,-0.04079072013425547,-219.64851502542322
100,0.01,adam,32,0.1,0.5867835740630796,0.0786531010049809,-0.006296288528275887,-199.59470742691533
100,0.01,adam,32,0.2,0.4313566641503712,0.09226713561248077,0.052513291669698925,-266.59967888120144
100,0.01,adam,64,0.0,0.5562520561943907,0.08150706189093175,0.014741553160065281,-211.4102517982621
100,0.01,adam,64,0.1,0.5866068533030715,0.07866991803972768,-0.004542787045411964,-188.59228229293313
100,0.01,adam,64,0.2,0.5262177639935435,0.08422023483838906,0.01571861451535719,-175.45661184495307
100,0.01,rmsprop,16,0.0,-0.06382616476425862,0.12620088347756395,-0.030911952396553706,-141.5527060784106
100,0.01,rmsprop,16,0.1,0.5579011601424589,0.08135546825244884,-0.00727252965248596,-196.89574167100025
100,0.01,rmsprop,16,0.2,0.5558388773738935,0.08154499914399747,-0.007908836813731734,-171.73699399815166
100,0.01,rmsprop,32,0.0,0.502726606856919,0.08628288794523796,-0.030790651161895628,-229.44339281073843
100,0.01,rmsprop,32,0.1,0.5841072473700235,0.0789074007316805,-0.010377935426175457,-189.16965619914623
100,0.01,rmsprop,32,0.2,0.5126015013369118,0.0854218858332029,-0.0350081595081828,-197.54985390118782
100,0.01,rmsprop,64,0.0,0.48642491317148007,0.0876857529466348,-0.03293980738715703,-208.88507010955786
100,0.01,rmsprop,64,0.1,0.4202797478533912,0.09316146248788769,-0.05376062433816857,-229.1859402018827
100,0.01,rmsprop,64,0.2,0.47746449915005984,0.08844737786570392,-0.04096819318647959,-192.66721042337014
