epochs,learning_rate,optimizer,lstm_units,dropout_rate,R2,RMSE,MBE,NSE
100,0.001,adam,16,0.0,-1.1116330667019611e+29,0.01850806272015446,-0.00713876848969204,-1.4895883093806284e+31
100,0.001,adam,16,0.1,-2.0861460742996418e+27,0.002535435644731551,-0.0013720389017527908,-2.795435739561519e+29
100,0.001,adam,16,0.2,-4.5184873308279634e+29,0.03731442627998116,0.03616373949797089,-6.054773023309471e+31
100,0.001,adam,32,0.0,-3.9247439727315625e+28,0.010997295624752141,0.008985742898118739,-5.259156923460292e+30
100,0.001,adam,32,0.1,-7.54503054055134e+27,0.004821817126248408,-0.003976809918001807,-1.0110340924338796e+30
100,0.001,adam,32,0.2,-3.85430079125002e+28,0.010898156400818503,0.010787803706827158,-5.164763060275027e+30
100,0.001,adam,64,0.0,-7.124100503642205e+27,0.004685384677789214,0.001309966389801674,-9.546294674880554e+29
100,0.001,adam,64,0.1,-1.0740262784486347e+28,0.005752911430881597,0.0018480077323519237,-1.4391952131211706e+30
100,0.001,adam,64,0.2,-2.7793177166873103e+29,0.029265054151418345,-0.014353702790712535,-3.7242857403609956e+31
100,0.001,rmsprop,16,0.0,-7.8780488663316445e+28,0.015580793414978086,-0.002570911158387631,-1.0556585480884403e+31
100,0.001,rmsprop,16,0.1,-1.3524652035359472e+29,0.020414713259731702,0.019372984738481286,-1.8123033727381693e+31
100,0.001,rmsprop,16,0.2,-6.950943227221728e+29,0.046280932925846646,0.04485153904422688,-9.314263924477117e+31
100,0.001,rmsprop,32,0.0,-1.378041189498343e+27,0.0020606836890522968,-0.0007050991787948952,-1.84657519392778e+29
100,0.001,rmsprop,32,0.1,-5.704452528895933e+27,0.004192636581767835,-0.0016379051973680297,-7.64396638872055e+29
100,0.001,rmsprop,32,0.2,-3.1162717380858438e+28,0.009799364106085402,0.0030035970086372374,-4.175804129035031e+30
100,0.001,rmsprop,64,0.0,-1.2455020338416238e+27,0.001959081279690371,-0.0004685926188393552,-1.668972725347776e+29
100,0.001,rmsprop,64,0.1,-1.870346544238818e+28,0.007591739106087064,-0.006709771620704457,-2.5062643692800163e+30
100,0.001,rmsprop,64,0.2,-3.613339662995403e+27,0.0033368342017439058,-0.001175825971286979,-4.841875148413839e+29
100,0.01,adam,16,0.0,-3.834847853430678e+28,0.010870619715980322,0.0006026138280645,-5.138696123597107e+30
100,0.01,adam,16,0.1,-6.631256965694829e+28,0.014294802613066393,-0.0016425169955548297,-8.885884334031068e+30
100,0.01,adam,16,0.2,-1.0190361792470992e+26,0.0005603702050646087,-0.0005603702050646087,-1.3655084801911132e+28
100,0.01,adam,32,0.0,-1.3087591738623617e+28,0.006350531924723186,0.005517911971494043,-1.7537372929755643e+30
100,0.01,adam,32,0.1,-5.242388272787104e+29,0.040192481992860636,-0.04019248199286063,-7.02480028553472e+31
100,0.01,adam,32,0.2,-4.380409195876977e+28,0.011618165940635333,-0.010031036060258815,-5.869748322475148e+30
100,0.01,adam,64,0.0,-2.0115224969745664e+29,0.024896751308496137,0.00363059405781233,-2.6954401459459194e+31
100,0.01,adam,64,0.1,-2.6046864720871453e+28,0.008958967505093859,0.007622005750872904,-3.490279872596774e+30
100,0.01,adam,64,0.2,-8.879132283579827e+28,0.016541142279841162,0.01560873702211849,-1.189803725999697e+31
100,0.01,rmsprop,16,0.0,-8.474341247478177e+28,0.0161596968127371,0.007537626702383091,-1.1355617271620755e+31
100,0.01,rmsprop,16,0.1,-2.722885052485927e+27,0.0028966424308725595,0.0018078023978024041,-3.648665970331142e+29
100,0.01,rmsprop,16,0.2,-3.697309888943503e+28,0.010673900751867867,0.0004697415081313061,-4.954395251184293e+30
100,0.01,rmsprop,32,0.0,-1.197359881694012e+28,0.006074248925241646,0.004401117312363434,-1.604462241469976e+30
100,0.01,rmsprop,32,0.1,-4.6997537495398786e+29,0.03805553095671648,-0.03801724384259139,-6.297670024383437e+31
100,0.01,rmsprop,32,0.2,-1.4557040016180671e+28,0.006697562454362704,-0.006697562454362704,-1.9506433621682102e+30
100,0.01,rmsprop,64,0.0,-1.7909164060290622e+29,0.023491886375566318,-0.023491886375566318,-2.3998279840789433e+31
100,0.01,rmsprop,64,0.1,-9.639336280704223e+28,0.017234702846072654,0.01644444796397408,-1.2916710616143657e+31
100,0.01,rmsprop,64,0.2,-2.1000327953868157e+29,0.025438603876252963,-0.025438603876252963,-2.814043945818333e+31
