epochs,learning_rate,optimizer,lstm_units,dropout_rate,R2,RMSE,MBE,NSE
100,0.001,adam,16,0.0,0.680186690228685,0.10693679291241523,-0.016560465615310657,-202.6072557119713
100,0.001,adam,16,0.1,0.6525295994103248,0.11146481402235597,-0.0342785218599473,-189.97643598893225
100,0.001,adam,16,0.2,0.5011785209760143,0.13355232749811885,-0.0376322795047145,-161.26608432756103
100,0.001,adam,32,0.0,0.6082859987593614,0.11834868474141756,-0.0012022265366109972,-183.97485343273783
100,0.001,adam,32,0.1,0.6215483905301113,0.1163279477968297,-0.006942906114716012,-175.54849419996063
100,0.001,adam,32,0.2,0.6452321263347124,0.11262920814920004,-0.010333532123546872,-200.22003978671492
100,0.001,adam,64,0.0,0.5616696939876786,0.12519288211392557,-0.00849514489711119,-182.89247491187245
100,0.001,adam,64,0.1,0.6008372378916904,0.11946863395804873,-0.02234940694084707,-175.75682092656584
100,0.001,adam,64,0.2,0.547692024554161,0.12717332056119543,-0.01484687088775889,-172.49951819712777
100,0.001,rmsprop,16,0.0,0.711817132285499,0.10151096763601565,-0.01290460549818834,-198.95592410355354
100,0.001,rmsprop,16,0.1,0.6953025298145796,0.10437904342698753,-0.014085141097555284,-195.6529658382154
100,0.001,rmsprop,16,0.2,0.4904824041598832,0.13497659917495392,0.04333794087426088,-167.4743198972849
100,0.001,rmsprop,32,0.0,0.7154917416333665,0.10086170998806933,0.008257983262735635,-202.18568083767252
100,0.001,rmsprop,32,0.1,0.6258634614637318,0.11566286620571994,0.026961560274114487,-180.144375736858
100,0.001,rmsprop,32,0.2,0.5576296503303781,0.12576850351359783,0.022863256324459492,-165.53316247645031
100,0.001,rmsprop,64,0.0,0.662173624201741,0.10990707888584603,0.007408532115826979,-184.04419610761624
100,0.001,rmsprop,64,0.1,0.7066539651790695,0.10241628051568243,-0.010127448508222475,-200.45607258019942
100,0.001,rmsprop,64,0.2,0.6449857840497882,0.11266830487101683,-0.010234246131323042,-176.65426809731196
100,0.01,adam,16,0.0,0.66039324189136,0.11019630953922004,0.0002831655810672324,-184.8744491195594
100,0.01,adam,16,0.1,-0.02770344425850446,0.19169588676708152,0.031473552929697765,-136.7122615306396
100,0.01,adam,16,0.2,0.34946690201820096,0.1525153610128904,0.08521841892810111,-185.2378038283132
100,0.01,adam,32,0.0,0.6500006299686443,0.11186971189143192,-0.000796188687334184,-179.0558454380134
100,0.01,adam,32,0.1,0.6525436347963558,0.11146256279823792,0.0270895741482823,-187.8031712873404
100,0.01,adam,32,0.2,0.6100471292298886,0.11808233956011209,0.049398803815789316,-190.7056361092313
100,0.01,adam,64,0.0,0.5973752941943056,0.11998559197072778,0.03892232214591497,-202.8321885659396
100,0.01,adam,64,0.1,0.6734078090768724,0.1080641859778922,0.005440703117012214,-189.67768161447003
100,0.01,adam,64,0.2,-1.8540360288907838,0.31945420849775996,0.2574767229431255,-381.44082787136495
100,0.01,rmsprop,16,0.0,0.6233391747995984,0.11605239700993089,0.013568240686905155,-185.42404395354245
100,0.01,rmsprop,16,0.1,0.7100099861274758,0.10182874930429604,-0.00739333396717583,-205.58563598572175
100,0.01,rmsprop,16,0.2,0.6062190560490673,0.11866051697711935,-0.03416834456452581,-174.27238768030588
100,0.01,rmsprop,32,0.0,0.5577361419677476,0.1257533645016633,-0.0045765631297976775,-171.605295948523
100,0.01,rmsprop,32,0.1,0.631173633944502,0.11483912322637133,-0.001099960089743018,-188.75296189240814
100,0.01,rmsprop,32,0.2,0.6844940373964659,0.10621422237766,-0.011711053845721268,-185.71941974906565
100,0.01,rmsprop,64,0.0,0.5628159551440826,0.1250290813493673,0.07254264585372328,-240.72199237597712
100,0.01,rmsprop,64,0.1,0.5406713503552723,0.12815650511605858,-0.02250416650891203,-163.15830012624093
100,0.01,rmsprop,64,0.2,0.6483995224253536,0.11212529958197542,-0.03533396065425414,-200.36171533480336
