epochs,learning_rate,optimizer,lstm_units,dropout_rate,R2,RMSE,MBE,NSE
100,0.001,adam,16,0.0,0.2500999974294492,0.09527334232540553,-0.06627037343103803,-261.75802341587627
100,0.001,adam,16,0.1,0.29334829516571415,0.09248524026505957,-0.04915013520429692,-188.50423149686918
100,0.001,adam,16,0.2,0.28666169653457774,0.09292177473289552,-0.06378633773892982,-231.3203512752534
100,0.001,adam,32,0.0,-0.09034772058907792,0.1148820650592146,-0.07473525349627988,-295.9462580782514
100,0.001,adam,32,0.1,0.178376477498023,0.09972548469137912,-0.04630652370591969,-203.9156053529563
100,0.001,adam,32,0.2,0.22972658569948667,0.09655887071561244,-0.053977534066708646,-211.96649689788498
100,0.001,adam,64,0.0,-0.20630558908459684,0.12083657124803376,-0.0901256458335523,-298.47846994128344
100,0.001,adam,64,0.1,0.17618996539496756,0.09985809171648448,-0.0622309102748432,-261.8980027748632
100,0.001,adam,64,0.2,-0.21273282761012613,0.12115805434536786,-0.09697379772642074,-311.6568558653769
100,0.001,rmsprop,16,0.0,0.021929276902475703,0.10880650319111597,-0.09029896757795158,-300.3978219800645
100,0.001,rmsprop,16,0.1,0.040364480498953914,0.10777620340710661,-0.08634142355541993,-277.51665321891494
100,0.001,rmsprop,16,0.2,0.5120594796764959,0.0768516446718439,-0.03274395161454666,-189.57281828722125
100,0.001,rmsprop,32,0.0,0.10301873957750118,0.10419848596472377,-0.08040237182411104,-290.2307346185601
100,0.001,rmsprop,32,0.1,0.44370028349980073,0.08205860750432079,-0.032078563502798745,-182.27576422912023
100,0.001,rmsprop,32,0.2,0.2683751260276207,0.09410527209882426,-0.06828174762615825,-245.0374541922032
100,0.001,rmsprop,64,0.0,-0.0182050188968097,0.11101645118680645,-0.09181256781617515,-312.6353639004292
100,0.001,rmsprop,64,0.1,-0.0023211197671546557,0.1101471245946272,-0.087838644303816,-304.0510246501648
100,0.001,rmsprop,64,0.2,-0.34811410091276773,0.1277418052355086,-0.1090341346062506,-323.72903254575334
100,0.01,adam,16,0.0,-0.09485512142389929,0.11511927629673192,-0.08301822986030176,-271.59070909975895
100,0.01,adam,16,0.1,0.2565592576676755,0.09486213668197524,-0.0601785674498717,-236.87828152809865
100,0.01,adam,16,0.2,-0.19383922643101137,0.1202105670813838,-0.09303944491482802,-281.2111939435844
100,0.01,adam,32,0.0,-0.06684801066388069,0.1136373243489828,-0.07480201403450919,-265.9533828997608
100,0.01,adam,32,0.1,0.1540879987661804,0.10118876999537138,-0.07572233065594797,-281.57557080174456
100,0.01,adam,32,0.2,-0.411881236748616,0.13072805718468294,-0.10450857677865692,-284.991141652855
100,0.01,adam,64,0.0,0.02162146149030275,0.10882362346836212,-0.07739260726309843,-267.27759588192936
100,0.01,adam,64,0.1,-1.34480902250619,0.16847034370201086,-0.15105494812652556,-412.37956094308487
100,0.01,adam,64,0.2,0.05479845729152588,0.10696259593326135,-0.07795017179567731,-261.4609027045065
100,0.01,rmsprop,16,0.0,-0.7182290747989823,0.14421494060198597,-0.11455942924197347,-384.8839007619926
100,0.01,rmsprop,16,0.1,0.03310107946364449,0.10818330905962681,-0.08554000496718729,-278.73631492074304
100,0.01,rmsprop,16,0.2,-0.16288561203925522,0.11864193526431102,-0.09713304977218025,-331.9815883536957
100,0.01,rmsprop,32,0.0,-0.041688744544748024,0.11228938659910065,-0.08555902196254611,-260.12301871525233
100,0.01,rmsprop,32,0.1,0.027443495474648527,0.1084993521475082,-0.08127967135084517,-301.3801098436409
100,0.01,rmsprop,32,0.2,0.021857830346584506,0.10881047719205794,-0.08104743019268003,-248.01086948629222
100,0.01,rmsprop,64,0.0,-0.4863591784615995,0.13413175539050873,-0.11345903664681757,-349.69331526374225
100,0.01,rmsprop,64,0.1,0.05142362052936611,0.10715338045813498,-0.0815775060861533,-286.1402853867491
100,0.01,rmsprop,64,0.2,-0.9434576784167563,0.1533759506081593,-0.1375997437944728,-427.26884995587557
